hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,all-transactions,quarterly,MSA,"Bismarck, ND",13900,2023,1,362.97,
traditional,all-transactions,quarterly,MSA,"Bismarck, ND",13900,2023,2,367.79,
traditional,all-transactions,quarterly,MSA,"Blacksburg-Christiansburg, VA",13980,2023,1,304.67,
traditional,all-transactions,quarterly,MSA,"Blacksburg-Christiansburg, VA",13980,2023,2,331.0,
traditional,all-transactions,quarterly,MSA,"Bloomington, IL",14010,2023,1,209.29,
traditional,all-transactions,quarterly,MSA,"Bloomington, IL",14010,2023,2,217.55,
traditional,all-transactions,quarterly,MSA,"Bloomington, IN",14020,2023,1,300.17,
traditional,all-transactions,quarterly,MSA,"Bloomington, IN",14020,2023,2,309.52,
traditional,all-transactions,quarterly,MSA,"Bloomsburg-Berwick, PA",14100,2023,1,302.05,
traditional,all-transactions,quarterly,MSA,"Bloomsburg-Berwick, PA",14100,2023,2,293.51,
traditional,all-transactions,quarterly,MSA,"Boise City, ID",14260,2023,1,453.34,
traditional,all-transactions,quarterly,MSA,"Boise City, ID",14260,2023,2,466.74,
traditional,all-transactions,quarterly,MSA,"Boston, MA (MSAD)",14454,2023,1,420.98,
traditional,all-transactions,quarterly,MSA,"Boston, MA (MSAD)",14454,2023,2,436.9,
traditional,all-transactions,quarterly,MSA,"Boulder, CO",14500,2023,1,449.68,
traditional,all-transactions,quarterly,MSA,"Boulder, CO",14500,2023,2,467.0,
traditional,all-transactions,quarterly,MSA,"Bowling Green, KY",14540,2023,1,281.67,
traditional,all-transactions,quarterly,MSA,"Bowling Green, KY",14540,2023,2,287.7,
traditional,all-transactions,quarterly,MSA,"Bremerton-Silverdale-Port Orchard, WA",14740,2023,1,405.59,
traditional,all-transactions,quarterly,MSA,"Bremerton-Silverdale-Port Orchard, WA",14740,2023,2,421.23,
traditional,all-transactions,quarterly,MSA,"Bridgeport-Stamford-Norwalk, CT",14860,2023,1,280.04,
traditional,all-transactions,quarterly,MSA,"Bridgeport-Stamford-Norwalk, CT",14860,2023,2,293.93,
traditional,all-transactions,quarterly,MSA,"Brownsville-Harlingen, TX",15180,2023,1,271.75,
traditional,all-transactions,quarterly,MSA,"Brownsville-Harlingen, TX",15180,2023,2,276.07,
traditional,all-transactions,quarterly,MSA,"Brunswick, GA",15260,2023,1,356.28,
traditional,all-transactions,quarterly,MSA,"Brunswick, GA",15260,2023,2,341.94,
traditional,all-transactions,quarterly,MSA,"Buffalo-Cheektowaga, NY",15380,2023,1,288.02,
